unbanded,banded,return?
BAWG,BAWG,y
UB33,BBWA,
BGYA,BGYA,y
UB19,BKGA,
BPYA,BPYA,y
UB8,BRRA,
BWPA,BWPA,y
UB103,BWWA,
UB5 ,BYWA,
UB18,DBGA,
GBYA,GBYA,y
GGRA,GGRA,y
UB11 ,GKGA,
UB16,GOGA,
UB50,KARP,
KBKA,KBKA,y
KBWA,KBWA,y
KBYA,KBYA,y
KGWA,KGWA,y
KKBA,KKBA,y
UB93,KOWA,
UB26,OAGO,
UB6,OOBA,
UB13,ORWA,
UB91,OYRA,
PAYK,PAYK,y
PGBA,PGBA,y
UB12,PWKA,
UB65,PYPA,
RAWB,RAWB,y
UB63,RBOA,
UB25,RPOA,
UB101,RRRA,
UB17,RYBA,
UB113,WGGA,
WKRA,WKRA,y
UB43,WOYA,
YAWW,YAWW,y
YGRA,YGRA,y
UB27,YOKA,
YPYA,YPYA,y
UB73,RORA,
UB64,BOOA,
UB18,OBGA,
UB26,WBYA,
UB4 ,KPRA,
UB110,GGPA,
UB95,GKRA,
UB121,BAPK,
UB57,GOYA,
UB92,BGBA,
UB15,GAPK,
UB32,WPPA,
UB123,YOYA,
UB1,PAYW,
UB2,RARB,
UB92,WKGA,
UB114,PAGO,
UB115,PWYA,
